trade_date,indicator_code,value
2010-04-27,000985.CSI,3552.642
2010-04-27,SHIBOR_3M,1.9373
2010-04-27,US10Y,3.71
2010-04-28,000300.SH,3097.353
2010-04-28,000985.CSI,3536.494
2010-04-28,SHIBOR_3M,1.9364
2010-04-28,US10Y,3.8
2010-04-29,000300.SH,3060.064
2010-04-29,000985.CSI,3468.145
2010-04-29,SHIBOR_3M,1.9394
2010-04-29,US10Y,3.76
2010-04-30,000300.SH,3067.365
2010-04-30,000985.CSI,3435.975
2010-04-30,SHIBOR_3M,1.9398
2010-04-30,US10Y,3.69
2010-05-01,CPI_YOY,3.1
2010-05-01,M1_YOY,29.9
2010-05-01,M2_YOY,21.0
2010-05-01,PMI_MANUFACTURE,53.9
2010-05-01,PPI_YOY,7.13
2010-05-03,US10Y,3.72
2010-05-04,000300.SH,3019.449
2010-05-04,000985.CSI,3400.087
2010-05-04,SHIBOR_3M,1.941
2010-05-04,US10Y,3.63
2010-05-05,000300.SH,3036.394
2010-05-05,000985.CSI,3449.605
2010-05-05,SHIBOR_3M,1.9433
2010-05-05,US10Y,3.58
2010-05-06,000300.SH,2896.856
2010-05-06,000985.CSI,3311.329
2010-05-06,SHIBOR_3M,1.9465
2010-05-06,US10Y,3.41
2010-05-07,000300.SH,2836.789
2010-05-07,000985.CSI,3248.09
2010-05-07,SHIBOR_3M,1.9479
2010-05-07,US10Y,3.45
2010-05-10,000300.SH,2858.233
2010-05-10,000985.CSI,3240.746
2010-05-10,SHIBOR_3M,1.9489
2010-05-10,US10Y,3.57
2010-05-11,000300.SH,2800.817
2010-05-11,000985.CSI,3165.43
2010-05-11,SHIBOR_3M,1.9478
2010-05-11,US10Y,3.56
2010-05-12,000300.SH,2818.16
2010-05-12,000985.CSI,3149.003
2010-05-12,SHIBOR_3M,1.9459
2010-05-12,US10Y,3.56
2010-05-13,000300.SH,2886.911
2010-05-13,000985.CSI,3228.7
2010-05-13,SHIBOR_3M,1.9459
2010-05-13,US10Y,3.55
2010-05-14,000300.SH,2868.023
2010-05-14,000985.CSI,3222.386
2010-05-14,SHIBOR_3M,1.9464
2010-05-14,US10Y,3.44
2010-05-17,000300.SH,2714.715
2010-05-17,000985.CSI,3038.314
2010-05-17,SHIBOR_3M,1.9477
2010-05-17,US10Y,3.47
2010-05-18,000300.SH,2771.348
2010-05-18,000985.CSI,3091.452
2010-05-18,SHIBOR_3M,1.9513
2010-05-18,US10Y,3.38
2010-05-19,000300.SH,2762.174
2010-05-19,000985.CSI,3085.787
2010-05-19,SHIBOR_3M,1.9497
2010-05-19,US10Y,3.36
2010-05-20,000300.SH,2726.022
2010-05-20,000985.CSI,3038.313
2010-05-20,SHIBOR_3M,1.95
2010-05-20,US10Y,3.25
2010-05-21,000300.SH,2768.791
2010-05-21,000985.CSI,3090.108
2010-05-21,SHIBOR_3M,1.9542
2010-05-21,US10Y,3.2
2010-05-24,000300.SH,2873.469
2010-05-24,000985.CSI,3215.119
2010-05-24,SHIBOR_3M,1.9658
2010-05-24,US10Y,3.23
2010-05-25,000300.SH,2813.943
2010-05-25,000985.CSI,3165.845
2010-05-25,SHIBOR_3M,1.9923
2010-05-25,US10Y,3.18
2010-05-26,000300.SH,2813.944
2010-05-26,000985.CSI,3169.711
2010-05-26,SHIBOR_3M,2.0389
2010-05-26,US10Y,3.21
2010-05-27,000300.SH,2859.979
2010-05-27,000985.CSI,3223.431
2010-05-27,SHIBOR_3M,2.0677
2010-05-27,US10Y,3.34
2010-05-28,000300.SH,2850.302
2010-05-28,000985.CSI,3221.74
2010-05-28,SHIBOR_3M,2.0925
2010-05-28,US10Y,3.31
2010-05-31,000300.SH,2773.264
2010-05-31,000985.CSI,3130.954
2010-05-31,SHIBOR_3M,2.1201
2010-06-01,000300.SH,2744.162
2010-06-01,000985.CSI,3087.956
2010-06-01,CPI_YOY,2.9
2010-06-01,M1_YOY,24.6
2010-06-01,M2_YOY,18.5
2010-06-01,PMI_MANUFACTURE,52.1
2010-06-01,PPI_YOY,6.41
2010-06-01,SHIBOR_3M,2.1885
2010-06-01,US10Y,3.29
2010-06-02,000300.SH,2757.527
2010-06-02,000985.CSI,3114.218
2010-06-02,SHIBOR_3M,2.224
2010-06-02,US10Y,3.35
2010-06-03,000300.SH,2736.076
2010-06-03,000985.CSI,3091.48
2010-06-03,SHIBOR_3M,2.2584
2010-06-03,US10Y,3.39
2010-06-04,000300.SH,2744.391
2010-06-04,000985.CSI,3106.367
2010-06-04,SHIBOR_3M,2.2536
2010-06-04,US10Y,3.2
2010-06-07,000300.SH,2695.715
2010-06-07,000985.CSI,3067.169
2010-06-07,SHIBOR_3M,2.252
2010-06-07,US10Y,3.17
2010-06-08,000300.SH,2699.336
2010-06-08,000985.CSI,3081.74
2010-06-08,SHIBOR_3M,2.2669
2010-06-08,US10Y,3.18
2010-06-09,000300.SH,2782.133
2010-06-09,000985.CSI,3169.266
2010-06-09,SHIBOR_3M,2.2803
2010-06-09,US10Y,3.2
2010-06-10,000300.SH,2750.023
2010-06-10,000985.CSI,3148.913
2010-06-10,SHIBOR_3M,2.2994
2010-06-10,US10Y,3.33
2010-06-11,000300.SH,2758.866
2010-06-11,000985.CSI,3148.398
2010-06-11,SHIBOR_3M,2.3128
2010-06-11,US10Y,3.24
2010-06-12,SHIBOR_3M,2.3327
2010-06-13,SHIBOR_3M,2.357
2010-06-14,US10Y,3.28
2010-06-15,US10Y,3.32
2010-06-16,US10Y,3.27
2010-06-17,000300.SH,2742.733
2010-06-17,000985.CSI,3123.838
2010-06-17,SHIBOR_3M,2.3716
2010-06-17,US10Y,3.21
2010-06-18,000300.SH,2696.166
2010-06-18,000985.CSI,3042.931
2010-06-18,SHIBOR_3M,2.4137
2010-06-18,US10Y,3.24
2010-06-21,000300.SH,2780.663
2010-06-21,000985.CSI,3133.849
2010-06-21,SHIBOR_3M,2.4621
2010-06-21,US10Y,3.26
2010-06-22,000300.SH,2783.72
2010-06-22,000985.CSI,3145.721
2010-06-22,SHIBOR_3M,2.5215
2010-06-22,US10Y,3.18
2010-06-23,000300.SH,2758.495
2010-06-23,000985.CSI,3122.841
2010-06-23,SHIBOR_3M,2.5622
2010-06-23,US10Y,3.13
2010-06-24,000300.SH,2757.498
2010-06-24,000985.CSI,3122.774
2010-06-24,SHIBOR_3M,2.6033
2010-06-24,US10Y,3.14
2010-06-25,000300.SH,2736.287
2010-06-25,000985.CSI,3088.873
2010-06-25,SHIBOR_3M,2.6259
2010-06-25,US10Y,3.12
2010-06-28,000300.SH,2716.777
2010-06-28,000985.CSI,3055.475
2010-06-28,SHIBOR_3M,2.6288
2010-06-28,US10Y,3.05
2010-06-29,000300.SH,2592.019
2010-06-29,000985.CSI,2903.186
2010-06-29,SHIBOR_3M,2.638
2010-06-29,US10Y,2.97
2010-06-30,000300.SH,2563.07
2010-06-30,000985.CSI,2862.784
2010-06-30,SHIBOR_3M,2.6308
2010-06-30,US10Y,2.97
2010-07-01,000300.SH,2526.071
2010-07-01,000985.CSI,2821.479
2010-07-01,CPI_YOY,3.3
2010-07-01,M1_YOY,22.9
2010-07-01,M2_YOY,17.6
2010-07-01,PMI_MANUFACTURE,51.2
2010-07-01,PPI_YOY,4.84
2010-07-01,SHIBOR_3M,2.6261
2010-07-01,US10Y,2.96
2010-07-02,000300.SH,2534.105
2010-07-02,000985.CSI,2819.716
2010-07-02,SHIBOR_3M,2.621
2010-07-02,US10Y,3.0
2010-07-05,000300.SH,2512.651
2010-07-05,000985.CSI,2798.436
2010-07-05,SHIBOR_3M,2.6126
2010-07-06,000300.SH,2562.902
2010-07-06,000985.CSI,2863.208
2010-07-06,SHIBOR_3M,2.6149
2010-07-06,US10Y,2.95
2010-07-07,000300.SH,2580.477
2010-07-07,000985.CSI,2890.858
2010-07-07,SHIBOR_3M,2.6069
2010-07-07,US10Y,3.0
2010-07-08,000300.SH,2575.921
2010-07-08,000985.CSI,2882.316
2010-07-08,SHIBOR_3M,2.5978
2010-07-08,US10Y,3.04
2010-07-09,000300.SH,2647.104
2010-07-09,000985.CSI,2963.601
2010-07-09,SHIBOR_3M,2.5944
2010-07-09,US10Y,3.07
2010-07-12,000300.SH,2676.218
2010-07-12,000985.CSI,2996.35
2010-07-12,SHIBOR_3M,2.5978
2010-07-12,US10Y,3.08
2010-07-13,000300.SH,2634.593
2010-07-13,000985.CSI,2951.067
2010-07-13,SHIBOR_3M,2.5953
2010-07-13,US10Y,3.15
2010-07-14,000300.SH,2653.609
2010-07-14,000985.CSI,2974.539
2010-07-14,SHIBOR_3M,2.5905
2010-07-14,US10Y,3.07
2010-07-15,000300.SH,2608.519
2010-07-15,000985.CSI,2916.699
2010-07-15,SHIBOR_3M,2.5849
2010-07-15,US10Y,3.0
2010-07-16,000300.SH,2616.128
2010-07-16,000985.CSI,2928.325
2010-07-16,SHIBOR_3M,2.5814
2010-07-16,US10Y,2.96
2010-07-19,000300.SH,2682.472
2010-07-19,000985.CSI,2999.13
2010-07-19,SHIBOR_3M,2.5709
2010-07-19,US10Y,2.99
2010-07-20,000300.SH,2741.503
2010-07-20,000985.CSI,3072.461
2010-07-20,SHIBOR_3M,2.5692
2010-07-20,US10Y,2.98
2010-07-21,000300.SH,2747.335
2010-07-21,000985.CSI,3078.941
2010-07-21,SHIBOR_3M,2.5483
2010-07-21,US10Y,2.9
2010-07-22,000300.SH,2781.286
2010-07-22,000985.CSI,3119.909
2010-07-22,SHIBOR_3M,2.5298
2010-07-22,US10Y,2.96
2010-07-23,000300.SH,2793.076
2010-07-23,000985.CSI,3128.351
2010-07-23,SHIBOR_3M,2.5165
2010-07-23,US10Y,3.02
2010-07-26,000300.SH,2811.055
2010-07-26,000985.CSI,3157.164
2010-07-26,SHIBOR_3M,2.5039
2010-07-26,US10Y,3.03
2010-07-27,000300.SH,2795.724
2010-07-27,000985.CSI,3146.779
2010-07-27,SHIBOR_3M,2.4768
2010-07-27,US10Y,3.08
2010-07-28,000300.SH,2863.724
2010-07-28,000985.CSI,3220.088
2010-07-28,SHIBOR_3M,2.4647
2010-07-28,US10Y,3.03
2010-07-29,000300.SH,2877.976
2010-07-29,000985.CSI,3238.269
2010-07-29,SHIBOR_3M,2.4609
2010-07-29,US10Y,3.03
2010-07-30,000300.SH,2868.846
2010-07-30,000985.CSI,3231.484
2010-07-30,SHIBOR_3M,2.4475
2010-07-30,US10Y,2.94
2010-08-01,CPI_YOY,3.5
2010-08-01,M1_YOY,21.9
2010-08-01,M2_YOY,19.2
2010-08-01,PMI_MANUFACTURE,51.7
2010-08-01,PPI_YOY,4.32
2010-08-02,000300.SH,2917.275
2010-08-02,000985.CSI,3289.324
2010-08-02,SHIBOR_3M,2.4468
2010-08-02,US10Y,2.99
