trade_date,value
2017-07-13,3.05
2017-07-14,2.6
2017-07-17,3.44
2017-07-18,2.77
2017-07-19,3.44
2017-07-20,3.44
2017-07-21,3.44
2017-07-24,3.4
2017-07-25,2.88
2017-07-26,3.44
2017-07-27,3.44
2017-07-28,2.8
2017-07-31,3.44
2017-08-01,2.84
2017-08-02,3.44
2017-08-03,2.87
2017-08-04,2.78
2017-08-07,2.9
2017-08-08,2.86
2017-08-09,2.92
2017-08-10,2.9
2017-08-11,3.07
2017-08-14,3.44
2017-08-15,3.44
2017-08-16,3.44
2017-08-17,3.44
2017-08-18,3.0
2017-08-21,3.44
2017-08-22,3.2
2017-08-23,3.44
2017-08-24,3.44
2017-08-25,3.0
2017-08-28,3.44
2017-08-29,2.93
2017-08-30,2.91
2017-08-31,3.44
2017-09-01,3.35
2017-09-04,2.8
2017-09-05,3.44
2017-09-06,3.1
2017-09-07,2.82
2017-09-08,2.6
2017-09-11,3.44
2017-09-12,3.4
2017-09-13,3.3
2017-09-14,3.44
2017-09-15,3.44
2017-09-18,3.44
2017-09-19,2.88
2017-09-20,3.3
2017-09-21,3.2
2017-09-22,3.25
2017-09-25,3.44
2017-09-26,3.44
2017-09-27,3.44
2017-09-28,3.44
2017-09-29,3.4
2017-09-30,3.44
2017-10-09,3.4
2017-10-10,3.3
2017-10-11,2.9
2017-10-12,2.83
2017-10-13,2.9
2017-10-16,2.88
2017-10-17,2.7
2017-10-18,2.65
2017-10-19,3.0
2017-10-20,2.83
2017-10-23,3.2
2017-10-24,3.44
2017-10-25,3.29
2017-10-26,3.44
2017-10-27,3.44
2017-10-30,3.44
2017-10-31,3.44
2017-11-01,2.85
2017-11-02,3.0
2017-11-03,2.9
2017-11-06,2.75
2017-11-07,2.8
2017-11-08,3.2
2017-11-09,2.9
2017-11-10,3.05
2017-11-13,3.2
2017-11-14,3.3
2017-11-15,3.1
2017-11-16,2.92
2017-11-17,3.2
2017-11-20,3.4
2017-11-21,3.44
2017-11-22,3.44
2017-11-23,3.44
2017-11-24,3.0
2017-11-27,2.82
2017-11-28,3.44
2017-11-29,3.44
2017-11-30,3.44
2017-12-01,3.1
2017-12-04,3.0
2017-12-05,2.75
2017-12-06,2.85
2017-12-07,2.8
2017-12-08,3.1
2017-12-11,3.44
2017-12-12,2.86
2017-12-13,3.0
2017-12-14,3.3
2017-12-15,2.9
2017-12-18,3.49
2017-12-19,3.49
2017-12-20,2.7
2017-12-21,2.83
2017-12-22,2.77
2017-12-25,2.8
2017-12-26,2.9
2017-12-27,2.85
2017-12-28,6.0
2017-12-29,3.1
2018-01-02,3.07
2018-01-03,2.9
2018-01-04,2.7
2018-01-05,2.69
2018-01-08,2.7
2018-01-09,3.1
2018-01-10,3.1
2018-01-11,3.2
2018-01-12,3.1
2018-01-15,3.49
2018-01-16,3.4
2018-01-17,3.499
2018-01-18,2.91
2018-01-19,3.2
2018-01-22,3.0
2018-01-23,2.83
2018-01-24,3.2
2018-01-25,2.9
2018-01-26,3.4
2018-01-29,2.95
2018-01-30,3.1
2018-01-31,3.2
2018-02-01,2.75
2018-02-02,2.79
2018-02-05,2.72
2018-02-06,2.67
2018-02-07,2.71
2018-02-08,2.93
2018-02-09,2.56
2018-02-11,2.7
2018-02-12,3.1
2018-02-13,3.5
2018-02-14,2.4
2018-02-22,3.3
2018-02-23,2.8
2018-02-24,2.9
2018-02-26,3.4
2018-02-27,2.9
2018-02-28,3.2
2018-03-01,3.2
2018-03-02,3.0
2018-03-05,3.0
2018-03-06,2.83
2018-03-07,2.83
2018-03-08,2.78
2018-03-09,2.6
2018-03-12,3.2
2018-03-13,3.5
2018-03-14,3.2
2018-03-15,3.0
2018-03-16,2.56
2018-03-19,2.9
2018-03-20,3.0
2018-03-21,2.82
2018-03-22,2.76
2018-03-23,2.71
2018-03-26,2.75
2018-03-27,2.86
2018-03-28,3.54
2018-03-29,2.9
2018-03-30,3.34
2018-04-02,2.82
2018-04-03,2.5
2018-04-04,2.75
2018-04-08,2.72
2018-04-09,3.0
2018-04-10,2.7
2018-04-11,2.95
2018-04-12,2.6
2018-04-13,2.7
2018-04-16,3.0
2018-04-17,3.54
2018-04-18,3.55
2018-04-19,3.2
2018-04-20,3.39
2018-04-23,10.0
2018-04-24,2.95
2018-04-25,3.54
2018-04-26,3.54
2018-04-27,3.03
2018-04-28,2.95
2018-05-02,3.0
2018-05-03,2.81
2018-05-04,2.65
2018-05-07,2.5
2018-05-08,2.54
2018-05-09,2.68
2018-05-10,2.75
2018-05-11,2.69
2018-05-14,3.1
2018-05-15,3.3
2018-05-16,3.05
2018-05-17,2.99
2018-05-18,2.7
2018-05-21,2.84
2018-05-22,2.71
2018-05-23,2.45
2018-05-24,2.7
2018-05-25,2.85
2018-05-28,3.54
2018-05-29,2.9
2018-05-30,2.95
2018-05-31,4.9
2018-06-01,2.8
2018-06-04,2.75
2018-06-05,2.7
2018-06-06,2.72
2018-06-07,2.71
2018-06-08,2.65
2018-06-11,2.9
2018-06-12,2.7
2018-06-13,2.8
2018-06-14,2.3
2018-06-15,2.76
2018-06-19,2.97
2018-06-20,2.82
2018-06-21,2.77
2018-06-22,2.86
2018-06-25,3.54
2018-06-26,2.81
2018-06-27,4.0
2018-06-28,3.2
2018-06-29,2.9
2018-07-02,2.4
2018-07-03,2.5
2018-07-04,2.3
2018-07-05,2.65
2018-07-06,3.54
2018-07-09,2.57
2018-07-10,2.64
2018-07-11,2.75
2018-07-12,2.5
2018-07-13,2.65
2018-07-16,2.57
2018-07-17,2.9
2018-07-18,2.66
2018-07-19,2.5
2018-07-20,2.3
2018-07-23,2.7
2018-07-24,2.45
2018-07-25,2.33
2018-07-26,2.6
2018-07-27,2.55
2018-07-30,2.3
2018-07-31,2.62
2018-08-01,2.47
2018-08-02,2.25
2018-08-03,2.2
2018-08-06,2.3
2018-08-07,2.1
2018-08-08,2.2
2018-08-09,2.4
2018-08-10,2.3
2018-08-13,2.49
2018-08-14,2.4
2018-08-15,2.5
2018-08-16,2.6
2018-08-17,2.63
2018-08-20,2.65
2018-08-21,2.66
2018-08-22,2.5
2018-08-23,2.62
2018-08-24,2.3
2018-08-27,2.64
2018-08-28,2.53
2018-08-29,2.63
2018-08-30,2.62
2018-08-31,2.5
2018-09-03,2.1
2018-09-04,2.2
2018-09-05,2.4
2018-09-06,2.7
2018-09-07,2.5
2018-09-10,2.6
2018-09-11,2.67
2018-09-12,2.53
2018-09-13,2.5
2018-09-14,2.62
2018-09-17,2.62
2018-09-18,2.71
2018-09-19,2.66
2018-09-20,2.68
2018-09-21,2.55
2018-09-25,2.75
2018-09-26,2.7
2018-09-27,2.5
2018-09-28,2.59
2018-09-29,2.74
2018-09-30,2.9
2018-10-08,2.55
2018-10-09,2.55
2018-10-10,2.5
2018-10-11,2.4
2018-10-12,2.5
2018-10-15,2.35
2018-10-16,2.58
2018-10-17,2.5
2018-10-18,2.4
2018-10-19,2.61
2018-10-22,2.3
2018-10-23,2.6
2018-10-24,2.5
2018-10-25,2.5
2018-10-26,2.4
2018-10-29,2.5
2018-10-30,2.55
2018-10-31,2.71
2018-11-01,2.5
2018-11-02,2.65
2018-11-05,2.4
2018-11-06,2.4
2018-11-07,2.56
2018-11-08,2.4
2018-11-09,2.55
2018-11-12,2.6
2018-11-13,2.5
2018-11-14,2.31
2018-11-15,2.58
2018-11-16,2.65
2018-11-19,2.6
2018-11-20,2.9
2018-11-21,2.5
2018-11-22,2.3
2018-11-23,2.1
2018-11-26,2.3
2018-11-27,2.65
2018-11-28,2.65
2018-11-29,2.64
2018-11-30,2.67
2018-12-03,2.2
2018-12-04,2.4
2018-12-05,2.1
2018-12-06,2.5
2018-12-07,2.55
2018-12-10,2.65
2018-12-11,2.58
2018-12-12,2.35
2018-12-13,2.65
2018-12-14,2.66
2018-12-17,2.65
2018-12-18,2.69
2018-12-19,2.67
2018-12-20,2.5
2018-12-21,2.0
2018-12-24,2.0
2018-12-25,4.8
2018-12-26,2.71
2018-12-27,2.7
2018-12-28,3.54
2018-12-29,2.2
2019-01-02,1.8
2019-01-03,2.0
2019-01-04,2.0
2019-01-07,2.0
2019-01-08,2.15
2019-01-09,2.0
2019-01-10,2.48
2019-01-11,1.8
2019-01-14,2.1
2019-01-15,2.5
2019-01-16,2.5
2019-01-17,2.35
2019-01-18,2.55
2019-01-21,2.55
2019-01-22,2.5
2019-01-23,2.53
2019-01-24,2.58
2019-01-25,2.35
2019-01-28,2.8
2019-01-29,2.0
2019-01-30,2.74
2019-01-31,2.71
2019-02-01,2.3
2019-02-02,2.1
2019-02-03,2.32
2019-02-11,2.3
2019-02-12,2.0
2019-02-13,2.0
2019-02-14,2.19
2019-02-15,2.2
2019-02-18,2.0
2019-02-19,2.35
2019-02-20,1.9
2019-02-21,2.31
2019-02-22,2.62
2019-02-25,2.64
2019-02-26,2.73
2019-02-27,2.8
2019-02-28,2.65
2019-03-01,2.0
2019-03-04,2.26
2019-03-05,2.5
2019-03-06,2.1
2019-03-07,2.2
2019-03-08,2.1
2019-03-11,2.1
2019-03-12,2.58
2019-03-13,2.4
2019-03-14,2.58
2019-03-15,2.76
2019-03-18,2.8
2019-03-19,2.75
2019-03-20,2.8
