ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
NHCI.NH,20200507,1342.291,1331.1877,1344.6245,1331.1877,1335.5521,6.7389,0.005,11921787,13122102
NHCI.NH,20200506,1335.5521,1342.9929,1342.994,1328.6198,1319.2656,16.2865,0.0123,9242471,12501834
NHCI.NH,20200430,1319.2656,1315.3798,1320.396,1309.4219,1301.6572,17.6084,0.0135,10134061,12403546
NHCI.NH,20200429,1301.6572,1297.2468,1305.4373,1295.6985,1289.3785,12.2787,0.0095,10189484,12819171
NHCI.NH,20200428,1289.3785,1297.5579,1297.683,1284.519,1304.665,-15.2865,-0.0117,13295875,13091040
NHCI.NH,20200427,1304.665,1311.3759,1318.323,1303.7866,1309.0743,-4.4093,-0.0034,12749774,13092449
NHCI.NH,20200424,1309.0743,1302.0267,1316.3888,1301.8129,1301.7482,7.3262,0.0056,11650966,13071315
NHCI.NH,20200423,1301.7482,1282.3695,1312.7581,1282.3695,1278.7701,22.978,0.018,14117212,13102889
NHCI.NH,20200422,1278.7701,1280.937,1280.937,1262.0559,1286.1497,-7.3795,-0.0057,14455084,13365471
NHCI.NH,20200421,1286.1497,1312.6829,1312.6829,1281.7396,1315.839,-29.6893,-0.0226,15068990,13495136
NHCI.NH,20200420,1315.839,1321.0188,1321.0188,1306.6389,1321.0558,-5.2168,-0.0039,11990259,13658642
NHCI.NH,20200417,1321.0558,1318.5282,1332.3988,1314.2372,1317.1664,3.8894,0.003,14426140,13650961
NHCI.NH,20200416,1317.1664,1327.8243,1331.2595,1315.5549,1328.9125,-11.7461,-0.0088,15084112,13797273
NHCI.NH,20200415,1328.9125,1334.882,1341.6897,1327.3113,1336.395,-7.4825,-0.0056,14041480,13755811
NHCI.NH,20200414,1336.395,1337.4543,1344.3373,1332.2564,1337.2062,-0.8112,-0.0006,16161901,13808990
NHCI.NH,20200413,1337.2062,1346.8004,1354.7112,1336.9955,1342.674,-5.4678,-0.0041,16011060,13744272
NHCI.NH,20200410,1342.674,1331.3096,1344.068,1325.5514,1334.8502,7.8237,0.0059,14338158,13454885
NHCI.NH,20200409,1334.8502,1322.2163,1335.7075,1322.2163,1319.7438,15.1065,0.0114,13634669,13489502
NHCI.NH,20200408,1319.7438,1308.7369,1325.2655,1296.1348,1310.6392,9.1046,0.0069,13624165,13393144
NHCI.NH,20200407,1310.6392,1287.4675,1313.9132,1287.4675,1287.3369,23.3023,0.0181,12294986,13232549
NHCI.NH,20200403,1287.3369,1296.9918,1301.7564,1277.2138,1293.2861,-5.9492,-0.0046,14314721,13129294
NHCI.NH,20200402,1293.2861,1258.4469,1295.038,1250.5523,1260.5286,32.7576,0.026,18572490,13668899
NHCI.NH,20200401,1260.5286,1278.9186,1279.5159,1257.7037,1278.2457,-17.7172,-0.0139,15889196,14007735
NHCI.NH,20200331,1278.2457,1266.2318,1287.3624,1266.2318,1263.6543,14.5914,0.0115,13489991,13799001
NHCI.NH,20200330,1263.6543,1281.2981,1281.2981,1259.9003,1286.4871,-22.8328,-0.0177,15972291,13861085
NHCI.NH,20200327,1286.4871,1287.7341,1295.1244,1279.4067,1286.2329,0.2542,0.0002,15633132,13624002
NHCI.NH,20200326,1286.2329,1298.1011,1298.1011,1283.9103,1299.1771,-12.9442,-0.01,14346862,13431301
NHCI.NH,20200325,1299.1771,1286.4979,1300.7344,1286.4979,1281.4209,17.7562,0.0139,14952273,13422573
NHCI.NH,20200324,1281.4209,1264.6868,1287.5271,1261.4425,1260.4345,20.9865,0.0167,16948700,13181632
NHCI.NH,20200323,1260.4345,1276.297,1276.297,1245.0811,1285.552,-25.1176,-0.0195,15213143,13040832
NHCI.NH,20200320,1285.552,1273.3247,1289.2993,1271.8923,1266.4192,19.1328,0.0151,16797196,12811456
NHCI.NH,20200319,1266.4192,1287.4484,1287.4484,1228.8792,1287.3654,-20.9462,-0.0163,21092240,13016505
NHCI.NH,20200318,1287.3654,1314.3809,1318.0032,1284.9155,1316.7334,-29.368,-0.0223,16816404,13390421
NHCI.NH,20200317,1316.7334,1319.7195,1320.3076,1305.9231,1321.6902,-4.9568,-0.0038,13374822,13314215
NHCI.NH,20200316,1321.6902,1342.945,1342.945,1321.3003,1345.645,-23.9548,-0.0178,13607767,13254607
NHCI.NH,20200313,1345.645,1336.4804,1345.8748,1307.3944,1339.9181,5.7269,0.0043,17542152,13326249
NHCI.NH,20200312,1339.9181,1353.8744,1353.8744,1326.047,1356.0085,-16.0905,-0.0119,14543027,13585931
NHCI.NH,20200311,1356.0085,1376.8351,1376.8351,1355.652,1375.1812,-19.1726,-0.0139,10786485,13598802
NHCI.NH,20200310,1375.1812,1361.5394,1381.7487,1356.6415,1368.6365,6.5447,0.0048,13912576,13571562
NHCI.NH,20200309,1368.6365,1385.7111,1385.7111,1355.5322,1402.3311,-33.6946,-0.024,12311635,13942434
NHCI.NH,20200306,1402.3311,1415.8596,1415.8596,1401.8444,1419.1754,-16.8444,-0.0119,10660778,14340069
NHCI.NH,20200305,1419.1754,1418.1056,1423.1337,1415.2518,1416.7518,2.4236,0.0017,10857365,14298870
NHCI.NH,20200304,1416.7518,1408.8837,1417.5796,1404.8265,1409.3781,7.3738,0.0052,11037433,14095315
NHCI.NH,20200303,1409.3781,1408.3772,1426.6901,1403.8792,1406.7601,2.6179,0.0019,12217224,14089408
NHCI.NH,20200302,1406.7601,1373.3467,1409.9042,1370.9161,1373.2242,33.5359,0.0244,14638550,13821382
NHCI.NH,20200228,1373.2242,1406.6924,1406.6924,1371.2474,1411.1331,-37.9088,-0.0269,16321734,13657163
